task_identifier,task_description,task_app,golden_steps,task_difficulty,备注
43vdtnbnqw2nfcho,"Open Clock app, first create a default alarm, then navigate to the Alarm page and add a custom label 'Morning Workout' using the Add label feature to complete the alarm personalization",['Clock'],20,2,
i92tp3yykp223vgu,"Open Clock app, navigate to Timer page, access Settings, then adjust the Alarm volume slider to increase or decrease the current volume level setting",['Clock'],20,2,
a4s9qeaxwdw0wciz,"Open Clock app, navigate to Bedtime page, first configure a basic sleep schedule with bedtime at 23:00 and wake-up at 07:00, then tap on 'Choose another sound' to modify the sleep sound setting",['Clock'],20,2,
ehmid29z2gk0n8n5,"Open Clock app, first create a new alarm for 06:30 by tapping the add button, then navigate to the alarm sound selection page and change the alarm sound from BeeBeep Alarm to Argon to complete sound customization",['Clock'],20,2,
m3ek14vshr2wmeft,"Open Clock app, first set up an alarm with default settings, then navigate to the alarm sound selection page and change from Default (Cesium) to Argon sound to complete sound customization",['Clock'],20,2,
1rg9mkvwwc5ms8pr,"Open Clock app, first create an alarm for 07:45, then navigate to alarm settings page and disable the Vibrate option while keeping the alarm enabled to complete vibration configuration",['Clock'],20,2,
raov49a0z9661tax,"Open Clock app, first create an alarm for 07:45, then navigate to the Alarm settings page and enable Google Assistant Routine to complete alarm enhancement setup",['Clock'],20,2,
osjvbhju7zahj4kh,"Open Clock app, navigate to Timer tab and set up a 15-second timer, start it to verify functionality, then clear the timer and input a new 45-second timer",['Clock'],20,2,
55f41ux9g5lnje5g,"Open Clock app, navigate to Alarm page, then tap on an existing alarm to open its settings and change the alarm tone from Barium to BeeBeep Alarm",['Clock'],10,1,
db7c9mb2pvmoy2g9,"Open Clock app, first set up an alarm for 07:45, then navigate to the alarm details and add a custom label 'Morning Alarm' to complete alarm identification setup",['Clock'],20,2,
hbp3eoiiaowcfrpt,"Open Clock app, navigate to the Timer tab, create a 3-minute timer by entering numbers 3-0-0, then start the timer and pause it using the pause button",['Clock'],20,2,不要讲怎么做，只说目标
jh7g58rv2fo512ae,"Open Clock app, navigate to the Alarm page, then tap the + button to create a new alarm",['Clock'],10,1,
biawm15uufzpfkn4,"Open Clock app, first set an alarm for weekdays only, then navigate to the Alarm page and change the schedule from weekdays to weekend-only by selecting Saturday and Sunday to complete the schedule modification",['Clock'],20,2,
wqynzv53mok5kruw,"Open Clock app, navigate to the Alarm page, then tap the '+' button to create a new alarm",['Clock'],10,1,
c8zkoed9tul7abin,"Open Clock app, navigate to Timer page, access Settings, then navigate to Timer sound page and change the timer notification sound from 'Timer Expired' to 'Argon'",['Clock'],20,2,
qktj47xjhuysicx7,"Open Clock app, navigate to Stopwatch page, start the stopwatch, let it run for 15 seconds, then pause and resume it to complete timing control",['Clock'],20,2,
f2p7scyapzn8bbm6,"Open Clock app, navigate to Alarm section, create a new alarm set for 07:30, then add the label 'Work Meeting' to complete the alarm configuration",['Clock'],20,2,
rp5n1516l8pz3sdu,"Open Clock app, navigate to Timer page, access the three-dot menu and select Settings to reach the Settings page",['Clock'],20,2,
mafurt8bnbx9cb3q,"Open Clock app, first access the main menu, then navigate to Settings page and configure the screensaver to display clock in night mode to complete display customization",['Clock'],20,2,
nxjuh9vhutqnn3mm,"Open Clock app, navigate to the Alarm page, first disable an existing alarm using the toggle switch, then modify its vibrate setting and alarm tone while it remains disabled, and finally re-enable the alarm",['Clock'],20,2,
vzbg4qhmw45x7nx4,"Open Clock app, navigate to the Alarm page, first add a custom label to an unlabeled alarm, then configure the Google Assistant Routine setting and enable the pause alarm feature",['Clock'],20,2,
9gx8dv9q1dt9ly3a,"Open Clock app, first set an alarm for 07:45, then navigate to the alarm details page and change the alarm tone from default to BeeBeep Alarm to complete custom alarm configuration",['Clock'],20,2,
5xpn0mjgfbsgqrlp,"Open Clock app, first create a new alarm for 06:30 by tapping the add button, then navigate to the alarm sound selection page and change the sound to Silent mode to complete silent alarm setup",['Clock'],20,2,
qbu2om1kvpx2u0eb,"Open Clock app, navigate to Alarm section, create an alarm for 06:00 on weekdays only, then enable vibrate mode to complete the alarm setup",['Clock'],20,2,
t4epu4lgx89pqr3f,"Open Clock app, first create an alarm for 06:30 set for Monday, Tuesday, Wednesday, Thursday, and Friday, navigate to alarm configuration, tap BeeBeep Alarm to access sound settings, select Silent option from device sounds, enable vibrate mode, add label 'Silent Morning', then duplicate this alarm for Saturday to complete silent alarm series",['Clock'],30,3,
ka6vabchf16vqlne,"Open Clock app, first create a new alarm set for Saturday at 06:30, navigate to the alarm configuration page, add a custom label 'Weekend Alarm', change the alarm sound from BeeBeep Alarm to Default (Cesium), disable vibrate option, then save the configuration to complete weekend alarm setup",['Clock'],30,3,
o6t7gtoqugfn2gel,"Open Clock app, first create a new alarm for 07:00 with label 'Morning Routine', then navigate to the alarm settings page and enable vibration, disable the BeeBeep Alarm sound, add a Google Assistant Routine, and finally set the alarm to repeat only on weekdays to complete the comprehensive alarm configuration",['Clock'],30,3,
j0w5q2sp1e9n42y0,"Open Clock app, first create a new alarm set for 06:30 with weekdays selected (Monday through Friday), navigate to the alarm settings page, tap on BeeBeep Alarm option, select Argon ringtone from the available options, then enable vibrate option to complete alarm customization",['Clock'],30,3,
8uusstmjt6aeb7jf,"Open Clock app, first create two separate timers (one for 10 minutes, another for 20 minutes), then navigate to the Timer page and delete the 10-minute timer using the X button to complete timer management",['Clock'],20,2,
uow3brdf32iqlff9,"Open Clock app, first create a new alarm set for 06:15 with label 'Morning Workout', then navigate to the alarm configuration page and configure it to repeat on Monday, Wednesday, and Friday only, enable vibration, and set Google Assistant Routine to complete the customized alarm setup",['Clock'],30,3,
c68bv9z40qjci7qj,"Open Clock app, first create a 25-minute timer using the Timer tab, then access the overflow menu from Timer page, navigate to Settings page, scroll down to Timers section, select Timer sound option, and change from 'Timer Expired' to 'Argon' ringtone to complete timer notification sound customization",['Clock'],30,3,
p5ym8d29pexbhdra,"Open Clock app, navigate to the Timer tab, then access the overflow menu (three dots) to view timer options",['Clock'],10,1,
tw3q161hw1wavg38,"Open Clock app, navigate to the Alarm page, then tap 'Pause alarm' to temporarily disable the current alarm",['Clock'],10,1,
